identifiant fonctionnel;domaine;fonctionnalité;description du comportement réel;fichier source;fonction ou zone source;données entrée;données sortie;dépendances;cas particuliers;risques;nouveau module prévu;test prévu;critère validation;statut;différence volontaire;justification
OUT-001;Outil migration;import JSON OVP unique;Comportement existant audité: import JSON OVP unique.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-001;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-002;Outil migration;import de plusieurs JSON ou dossier;Comportement existant audité: import de plusieurs JSON ou dossier.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-002;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-003;Outil migration;import Sofia-FMO;Comportement existant audité: import Sofia-FMO.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-003;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-004;Outil migration;import Plan et sessions;Comportement existant audité: import Plan et sessions.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-004;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-005;Outil migration;import BI-RANA;Comportement existant audité: import BI-RANA.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-005;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-006;Outil migration;import recensement Drupal;Comportement existant audité: import recensement Drupal.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-006;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-007;Outil migration;lecture CSV/XLS/XLSX/HTML/JSON;Comportement existant audité: lecture CSV/XLS/XLSX/HTML/JSON.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-007;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-008;Outil migration;normalisation des colonnes;Comportement existant audité: normalisation des colonnes.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-008;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-009;Outil migration;cache BI-RANA;Comportement existant audité: cache BI-RANA.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-009;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-010;Outil migration;association automatique;Comportement existant audité: association automatique.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-010;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-011;Outil migration;association manuelle;Comportement existant audité: association manuelle.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-011;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-012;Outil migration;seuils de confiance;Comportement existant audité: seuils de confiance.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-012;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-013;Outil migration;mapping Drupal vers Sofia-FMO;Comportement existant audité: mapping Drupal vers Sofia-FMO.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-013;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-014;Outil migration;mapping unitaire;Comportement existant audité: mapping unitaire.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-014;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-015;Outil migration;mapping multiple;Comportement existant audité: mapping multiple.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-015;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-016;Outil migration;mapping départemental;Comportement existant audité: mapping départemental.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-016;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-017;Outil migration;correspondance par titre;Comportement existant audité: correspondance par titre.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-017;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
